kind,col,ks,ks_p,wass,cohen_d,mean_orig,mean_train
num,Soil_pH,0.0341,2.32e-10,0.0588,-0.006,6.488,6.482
num,Soil_Moisture,0.0118,1.29e-01,0.3357,0.02,36.969,37.304
num,Organic_Carbon,0.0388,2.48e-13,0.0227,-0.059,0.945,0.923
num,Electrical_Conductivity,0.0365,8.33e-12,0.0485,-0.049,1.792,1.745
num,Temperature_C,0.0075,6.32e-01,0.0686,0.001,26.991,26.998
num,Humidity,0.0428,3.95e-16,1.5079,0.074,60.08,61.563
num,Rainfall_mm,0.1578,1.07e-214,209.7081,0.315,1252.499,1462.208
num,Sunlight_Hours,0.0112,1.69e-01,0.0227,-0.003,7.519,7.513
num,Wind_Speed_kmh,0.0197,9.72e-04,0.2119,0.037,10.164,10.375
num,Field_Area_hectare,0.016,1.28e-02,0.0895,-0.019,7.598,7.518
num,Previous_Irrigation_mm,0.0413,5.34e-15,2.5022,0.071,59.864,62.318
cat,Soil_Type,-,3.93e-03,-,-,4 levels,max|Δpp|=1.43
cat,Crop_Type,-,2.80e-01,-,-,6 levels,max|Δpp|=0.66
cat,Crop_Growth_Stage,-,8.19e-02,-,-,4 levels,max|Δpp|=0.92
cat,Season,-,1.66e-01,-,-,3 levels,max|Δpp|=0.81
cat,Irrigation_Type,-,2.89e-02,-,-,4 levels,max|Δpp|=1.03
cat,Water_Source,-,2.52e-01,-,-,4 levels,max|Δpp|=0.74
cat,Mulching_Used,-,8.50e-01,-,-,2 levels,max|Δpp|=0.10
cat,Region,-,1.24e-01,-,-,5 levels,max|Δpp|=0.88
