y,col,n_orig,n_synth,ks,ks_p,cohen_d,mean_orig,mean_synth,abs_d
Low,Soil_pH,5864,369917,0.0362,5.02512370690232e-07,-0.002,6.489,6.488,0.002
Low,Soil_Moisture,5864,369917,0.0482,4.2446783595975794e-12,0.113,41.724,43.306,0.113
Low,Organic_Carbon,5864,369917,0.0395,3.0273250135856147e-08,-0.06,0.943,0.921,0.06
Low,Electrical_Conductivity,5864,369917,0.0381,9.850321121453321e-08,-0.056,1.787,1.732,0.056
Low,Temperature_C,5864,369917,0.0154,0.12976468731195934,-0.023,25.543,25.348,0.023
Low,Humidity,5864,369917,0.0499,6.229890386991443e-13,0.099,59.968,61.949,0.099
Low,Rainfall_mm,5864,369917,0.1162,2.2323389997446306e-68,0.246,1346.277,1500.534,0.246
Low,Sunlight_Hours,5864,369917,0.0126,0.3173530995385312,-0.007,7.525,7.511,0.007
Low,Wind_Speed_kmh,5864,369917,0.015,0.1461928003509494,0.012,9.148,9.216,0.012
Low,Field_Area_hectare,5864,369917,0.0203,0.017288213067268916,-0.023,7.544,7.447,0.023
Low,Previous_Irrigation_mm,5864,369917,0.0571,8.154203661927759e-17,0.062,59.527,61.718,0.062
Medium,Soil_pH,3800,239074,0.0324,0.0007695007098870927,-0.016,6.481,6.466,0.016
Medium,Soil_Moisture,3800,239074,0.0538,7.231183459106006e-10,-0.085,31.158,29.744,0.085
Medium,Organic_Carbon,3800,239074,0.0361,0.00011437938286167801,-0.055,0.946,0.926,0.055
Medium,Electrical_Conductivity,3800,239074,0.034,0.0003388678215476746,-0.036,1.804,1.769,0.036
Medium,Temperature_C,3800,239074,0.0167,0.24266368916340197,0.021,28.706,28.887,0.021
Medium,Humidity,3800,239074,0.0403,1.0392464223612218e-05,0.035,60.321,61.005,0.035
Medium,Rainfall_mm,3800,239074,0.2158,2.1453657560024653e-153,0.417,1158.599,1444.475,0.417
Medium,Sunlight_Hours,3800,239074,0.019,0.1307820501705318,0.008,7.505,7.521,0.008
Medium,Wind_Speed_kmh,3800,239074,0.0412,5.833014515795227e-06,0.069,11.42,11.794,0.069
Medium,Field_Area_hectare,3800,239074,0.0123,0.6220316268821644,-0.012,7.676,7.626,0.012
Medium,Previous_Irrigation_mm,3800,239074,0.0556,1.723728978832899e-10,0.088,60.249,63.182,0.088
High,Soil_pH,336,21009,0.0605,0.1705811310853591,0.036,6.542,6.578,0.036
High,Soil_Moisture,336,21009,0.0801,0.027071459894701277,-0.219,19.706,17.67,0.219
High,Organic_Carbon,336,21009,0.0592,0.18880164199533778,-0.091,0.958,0.924,0.091
High,Electrical_Conductivity,336,21009,0.0592,0.1893277634755357,-0.065,1.751,1.691,0.065
High,Temperature_C,336,21009,0.1293,2.749285144507312e-05,0.265,32.882,34.568,0.265
High,Humidity,336,21009,0.0803,0.026342127624058742,0.092,59.312,61.12,0.092
High,Rainfall_mm,336,21009,0.2384,4.8861566306646464e-17,0.401,677.826,989.157,0.401
High,Sunlight_Hours,336,21009,0.0486,0.40300178516791707,-0.045,7.556,7.463,0.045
High,Wind_Speed_kmh,336,21009,0.0886,0.010337641405153886,0.219,13.679,14.643,0.219
High,Field_Area_hectare,336,21009,0.0361,0.7666328487454237,-0.032,7.673,7.53,0.032
High,Previous_Irrigation_mm,336,21009,0.0507,0.35088187404450766,0.051,61.398,63.053,0.051
